City_ID,City,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
94,Avarua,2020-10-30 01:15:01,-21.21,-159.78,77.0,69,100,8.05,CK,overcast clouds
95,Port Lincoln,2020-10-30 01:16:46,-34.73,135.87,58.75,68,42,20.47,AU,scattered clouds
96,Harnosand,2020-10-30 01:16:46,62.63,17.94,37.4,93,0,5.82,SE,clear sky
97,San Jose,2020-10-30 01:14:48,37.34,-121.89,73.0,29,0,1.99,US,clear sky
98,Hermanus,2020-10-30 01:15:15,-34.42,19.23,46.0,87,46,3.51,ZA,scattered clouds
99,Nikolskoye,2020-10-30 01:15:07,59.7,30.79,50.0,93,90,2.51,RU,light intensity shower rain
100,Poum,2020-10-30 01:16:46,-20.23,164.02,77.54,70,100,12.84,NC,overcast clouds
101,Alofi,2020-10-30 01:16:01,-19.06,-169.92,77.0,61,75,18.34,NU,light intensity drizzle
102,Usinsk,2020-10-30 01:16:46,65.99,57.53,37.04,95,100,17.34,RU,overcast clouds
103,Bambous Virieux,2020-10-30 01:15:18,-20.34,57.76,69.01,67,4,8.99,MU,clear sky
104,Mayo,2020-10-30 01:15:43,38.89,-76.51,53.6,100,90,10.29,US,overcast clouds
105,Bredasdorp,2020-10-30 01:15:25,-34.53,20.04,51.8,62,12,5.82,ZA,few clouds
106,Palaikastron,2020-10-30 01:16:47,35.2,26.25,64.99,73,0,5.01,GR,clear sky
107,Jamestown,2020-10-30 01:10:13,42.1,-79.24,44.01,93,90,5.82,US,overcast clouds
108,Baffa,2020-10-30 01:16:47,34.44,73.22,54.46,35,0,6.08,PK,clear sky
109,Tessalit,2020-10-30 01:15:39,20.2,1.01,74.41,19,0,6.33,ML,clear sky
110,San Luis,2020-10-30 01:13:47,-33.3,-66.34,57.88,35,90,19.48,AR,overcast clouds
111,Shimoda,2020-10-30 01:16:47,34.67,138.95,62.6,55,40,17.22,JP,scattered clouds
112,Barra Do Garcas,2020-10-30 01:16:47,-15.89,-52.26,74.12,85,100,4.16,BR,light rain
113,Sorong,2020-10-30 01:15:51,-0.88,131.25,83.34,73,59,10.51,ID,broken clouds
114,Goksun,2020-10-30 01:16:47,38.02,36.5,55.4,66,0,3.36,TR,clear sky
115,Nalut,2020-10-30 01:16:48,30.33,10.85,54.48,68,0,11.03,LY,clear sky
116,Atuona,2020-10-30 01:13:46,-9.8,-139.03,78.12,73,96,15.43,PF,overcast clouds
117,Saint Anthony,2020-10-30 01:16:24,45.02,-93.22,32.0,63,1,2.77,US,clear sky
118,Bako,2020-10-30 01:16:48,5.78,36.57,62.24,89,91,2.8,ET,light rain
119,Tocopilla,2020-10-30 01:13:21,-22.09,-70.2,60.48,54,0,2.39,CL,clear sky
120,Bonito,2020-10-30 01:16:48,-21.12,-56.48,69.24,87,0,5.39,BR,clear sky
121,Patrasaer,2020-10-30 01:16:48,23.22,87.52,71.38,70,11,7.23,IN,few clouds
122,Chuy,2020-10-30 01:16:01,-33.7,-53.46,50.29,87,11,7.81,UY,few clouds
123,Turukhansk,2020-10-30 01:16:11,65.82,87.98,4.32,94,89,5.57,RU,overcast clouds
124,State College,2020-10-30 01:13:50,40.79,-77.86,45.0,100,90,5.82,US,light intensity drizzle
125,Vardo,2020-10-30 01:15:04,70.37,31.11,35.47,84,51,20.15,NO,broken clouds
126,Bathsheba,2020-10-30 01:15:26,13.22,-59.52,77.0,88,40,20.8,BB,shower rain
127,Rohri,2020-10-30 01:16:49,27.69,68.9,64.4,82,0,5.12,PK,mist
128,Souillac,2020-10-30 01:16:23,-20.52,57.52,68.0,69,26,10.0,MU,light rain
129,Pevek,2020-10-30 01:15:24,69.7,170.31,19.74,95,100,10.8,RU,overcast clouds
130,Saint George,2020-10-30 01:13:24,37.1,-113.58,69.8,14,1,4.7,US,clear sky
131,Yerofey Pavlovich,2020-10-30 01:16:49,53.97,121.97,23.4,92,100,1.97,RU,overcast clouds
132,North Adams,2020-10-30 01:16:49,42.7,-73.11,42.8,87,90,6.96,US,overcast clouds
133,Cape Town,2020-10-30 01:14:28,-33.93,18.42,52.0,75,20,2.24,ZA,few clouds
134,Lorengau,2020-10-30 01:16:49,-2.02,147.27,84.49,73,99,9.19,PG,moderate rain
135,Roald,2020-10-30 01:16:50,62.58,6.13,44.6,81,0,8.05,NO,clear sky
136,Kavieng,2020-10-30 01:15:21,-2.57,150.8,80.85,78,100,9.19,PG,moderate rain
137,Vanavara,2020-10-30 01:16:50,60.34,102.28,17.87,97,100,4.68,RU,overcast clouds
138,San Martin,2020-10-30 01:16:50,-33.08,-68.47,62.6,36,0,2.24,AR,clear sky
139,Vila,2020-10-30 01:16:50,42.03,-8.16,57.0,100,75,6.93,PT,broken clouds
140,Parana,2020-10-30 01:16:50,-31.73,-60.52,55.0,73,0,1.99,AR,clear sky
141,Alikovo,2020-10-30 01:16:50,55.74,46.75,24.8,100,0,4.47,RU,clear sky
142,Narsaq,2020-10-30 01:15:14,60.92,-46.05,30.2,80,75,3.36,GL,broken clouds
143,Pisco,2020-10-30 01:15:18,-13.7,-76.22,63.0,82,0,20.8,PE,clear sky
144,Pedregal,2020-10-30 01:16:50,8.37,-82.43,80.01,87,63,3.98,PA,light rain
145,Qaanaaq,2020-10-30 01:15:00,77.48,-69.36,4.93,72,9,6.17,GL,clear sky
146,Katsuura,2020-10-30 01:15:25,35.13,140.3,61.0,47,75,12.75,JP,broken clouds
147,Rawson,2020-10-30 01:13:44,-43.3,-65.1,52.5,60,0,12.44,AR,clear sky
148,Ostrovnoy,2020-10-30 01:16:51,68.05,39.51,38.52,92,100,13.38,RU,light rain
149,Leh,2020-10-30 01:16:51,34.17,77.58,25.34,74,23,2.55,IN,few clouds
150,Salalah,2020-10-30 01:12:28,17.02,54.09,74.37,60,0,1.34,OM,clear sky
151,Lavrentiya,2020-10-30 01:16:16,65.58,-171.0,25.5,88,0,4.74,RU,clear sky
152,Prince Rupert,2020-10-30 01:11:05,54.32,-130.32,42.15,87,100,6.98,CA,moderate rain
153,Bereznik,2020-10-30 01:16:52,62.86,42.71,46.08,94,100,7.2,RU,light rain
154,Camacha,2020-10-30 01:15:31,33.08,-16.33,68.0,77,20,8.05,PT,few clouds
155,Warrnambool,2020-10-30 01:11:55,-38.38,142.48,64.0,79,0,11.3,AU,clear sky
156,Manzanillo,2020-10-30 01:16:52,20.34,-77.12,77.7,82,68,3.09,CU,heavy intensity rain
157,Cockburn Town,2020-10-30 01:16:52,21.46,-71.14,82.49,79,11,17.98,TC,few clouds
158,Georgetown,2020-10-30 01:15:29,5.41,100.34,80.6,88,20,4.7,MY,few clouds
159,Sabang,2020-10-30 01:16:52,5.89,95.32,82.31,73,84,10.85,ID,broken clouds
160,Vaini,2020-10-30 01:15:13,-21.2,-175.2,77.0,65,20,12.75,TO,few clouds
161,Thinadhoo,2020-10-30 01:16:52,0.53,72.93,82.83,75,12,11.56,MV,few clouds
162,Mahanje,2020-10-30 01:16:52,-9.93,35.33,66.11,80,87,5.53,TZ,light rain
163,Collipulli,2020-10-30 01:16:52,-37.95,-72.43,52.59,78,0,5.41,CL,clear sky
164,Areia Branca,2020-10-30 01:16:53,-4.96,-37.14,77.61,71,0,19.33,BR,clear sky
165,Maracas,2020-10-30 01:16:53,-13.44,-40.43,65.43,97,100,8.57,BR,overcast clouds
166,Upernavik,2020-10-30 01:15:56,72.79,-56.15,22.69,97,100,4.18,GL,light snow
167,Villazon,2020-10-30 01:16:53,-22.09,-65.59,46.71,63,43,11.68,BO,scattered clouds
168,Makat,2020-10-30 01:16:53,47.65,53.35,42.06,67,18,16.58,KZ,few clouds
169,Leningradskiy,2020-10-30 01:15:47,69.38,178.42,17.78,88,60,12.82,RU,broken clouds
170,Lianran,2020-10-30 01:16:53,24.92,102.48,61.0,100,90,4.47,CN,mist
171,Celestun,2020-10-30 01:16:53,20.87,-90.4,79.63,83,96,18.21,MX,light rain
172,Chauk,2020-10-30 01:16:53,20.88,94.82,78.37,80,100,8.21,MM,light rain
173,Paamiut,2020-10-30 01:16:22,61.99,-49.67,27.37,88,0,9.64,GL,clear sky
174,Severnoye,2020-10-30 01:16:54,56.35,78.36,34.41,97,100,8.86,RU,light rain
175,Tabas,2020-10-30 01:16:54,33.6,56.92,55.4,13,0,2.24,IR,clear sky
176,Sandnessjoen,2020-10-30 01:16:54,66.02,12.63,41.0,80,0,4.7,NO,clear sky
177,Carballo,2020-10-30 01:16:54,43.21,-8.69,48.99,100,75,6.93,ES,broken clouds
178,Kahului,2020-10-30 01:15:02,20.89,-156.47,86.0,62,40,8.05,US,scattered clouds
179,Saint-Francois,2020-10-30 01:15:51,46.42,3.91,55.4,87,90,2.24,FR,overcast clouds
180,Great Bend,2020-10-30 01:16:54,38.36,-98.76,44.01,56,1,6.93,US,clear sky
181,Norman Wells,2020-10-30 01:11:03,65.28,-126.83,9.52,92,35,1.45,CA,scattered clouds
182,Suriapet,2020-10-30 01:16:54,17.15,79.62,71.42,78,26,6.64,IN,scattered clouds
183,Tecoanapa,2020-10-30 01:16:55,16.52,-98.75,80.55,80,100,4.45,MX,light rain
184,Freeport,2020-10-30 01:14:28,40.66,-73.58,48.2,87,90,24.16,US,overcast clouds
185,Vanimo,2020-10-30 01:15:57,-2.67,141.3,77.02,89,100,5.59,PG,light rain
186,Gat,2020-10-30 01:16:55,31.61,34.76,70.0,100,99,3.0,IL,overcast clouds
187,Cidreira,2020-10-30 01:11:07,-30.18,-50.21,61.41,63,100,10.42,BR,overcast clouds
188,Peniche,2020-10-30 01:16:55,39.36,-9.38,54.0,81,0,2.57,PT,clear sky
189,Fortuna,2020-10-30 01:15:18,40.6,-124.16,59.0,81,1,9.17,US,clear sky
190,Wagar,2020-10-30 01:16:55,16.15,36.2,75.97,60,0,7.36,SD,clear sky
191,Muros,2020-10-30 01:15:58,42.78,-9.06,52.0,91,1,1.99,ES,clear sky
192,Kaitangata,2020-10-30 01:16:56,-46.28,169.85,57.99,85,100,5.99,NZ,overcast clouds
193,Landeck,2020-10-30 01:16:56,47.13,10.56,45.0,93,5,5.82,AT,light rain
194,Bara,2020-10-30 01:16:56,10.37,10.73,74.43,41,0,1.14,NG,clear sky
195,Miramar,2020-10-30 01:16:56,25.99,-80.23,82.4,88,1,10.04,US,clear sky
196,Margate,2020-10-30 01:15:10,51.38,1.39,59.0,81,100,4.0,GB,overcast clouds
197,Talcahuano,2020-10-30 01:16:56,-36.72,-73.12,59.0,77,0,9.17,CL,clear sky
198,Vao,2020-10-30 01:16:56,-22.67,167.48,73.9,82,98,17.83,NC,overcast clouds
