City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
380,Hoi An,VN,78.8,light rain,15.88,108.33,Belle Maison Hadana Hoi An managed by H&K Hospitality
381,Caxito,AO,75.2,broken clouds,-8.58,13.66,
383,Port Macquarie,AU,75.99,broken clouds,-31.43,152.92,Rydges Port Macquarie
391,Hambantota,LK,78.78,overcast clouds,6.12,81.12,Bungalow 63
397,Wilmington,US,78.8,overcast clouds,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
400,Madimba,TZ,75.2,scattered clouds,-10.4,40.33,
409,Codo,BR,81.05,overcast clouds,-4.46,-43.89,Hotel Porto do Sol
413,Pemangkat,ID,81.5,moderate rain,1.17,108.97,Kost H.Syamsuddin
418,Biltine,TD,83.95,overcast clouds,14.53,20.92,Hôtel Trois Étoiles de Biltine
421,Takoradi,GH,77.63,clear sky,4.88,-1.76,Raybow International Hotel
422,Bata,GQ,75.49,light rain,1.86,9.77,Hotel Carmen
425,Male,MV,82.18,scattered clouds,4.17,73.51,Hotel Octave Maldives
432,Boyolangu,ID,84.9,light rain,-8.12,111.89,Yos ega cv
433,Geraldton,AU,86.0,clear sky,-28.77,114.6,Broadwater Mariner Resort
437,Punta Gorda,US,82.4,clear sky,26.93,-82.05,Four Points by Sheraton Punta Gorda Harborside
438,Tabou,CI,77.05,light rain,4.42,-7.35,hotêl doufoulougou
439,Gold Coast,AU,80.01,clear sky,-28.0,153.43,Mantra Towers of Chevron Surfers Paradise
444,Gizo,SB,84.38,light rain,-8.1,156.84,Imagination Island
448,Kawalu,ID,78.75,broken clouds,-7.38,108.21,KOSAN UNGU UNSIK
449,Harper,LR,77.14,light rain,4.38,-7.72,Screensaver
450,Santa Cruz,BO,77.0,broken clouds,-17.8,-63.17,Hotel Cortez
454,Sao Geraldo Do Araguaia,BR,80.78,clear sky,-6.4,-48.55,Hotel Rio Araguaia
457,Cocobeach,GA,75.2,scattered clouds,1.0,9.58,Hôtel A Cocobeach
459,Buala,SB,80.26,light rain,-8.14,159.59,Maringe Lagoon Lodge
461,Tak Bai,TH,79.61,overcast clouds,6.26,102.05,อิรฟาน ก๊อปปี้
467,Mana,GF,81.81,overcast clouds,5.66,-53.78,LE SAMANA
469,Labuhan,ID,85.6,light rain,-6.88,112.21,bador sepret
472,Mahibadhoo,MV,82.31,light rain,3.78,72.97,Omadhoo Inn
475,Lahaina,US,86.0,broken clouds,20.88,-156.68,Lahaina Shores Beach Resort
476,Umm Lajj,SA,80.42,clear sky,25.02,37.27,Moon light Furnished Units
478,Yuli,NG,76.35,scattered clouds,9.7,10.27,
482,Winston-Salem,US,75.99,clear sky,36.1,-80.24,Winston-Salem Marriott
483,Esmeralda,CU,76.39,clear sky,21.85,-78.12,campismo las palmas
486,Tonantins,BR,78.6,clear sky,-2.87,-67.8,Hotel Rei Davi
491,Monrovia,LR,77.0,broken clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
496,Eydhafushi,MV,82.17,light rain,5.1,73.07,Soneva Fushi
497,Villa Bruzual,VE,76.95,broken clouds,9.33,-69.12,Hotel Turen
501,Banda Aceh,ID,82.2,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
504,Ambon,ID,83.75,overcast clouds,-3.7,128.18,Swiss-Belhotel Ambon
509,Avera,US,77.0,overcast clouds,33.19,-82.53,
514,Omboue,GA,75.29,light rain,-1.57,9.26,Hotel Olako
517,Namatanai,PG,81.79,light rain,-3.67,152.43,Namatanai Hotel
523,Dunmore Town,BS,81.63,light rain,25.5,-76.65,Coral Sands Hotel
525,Touros,BR,77.0,scattered clouds,-5.2,-35.46,INN NEW HORIZON
527,Soyo,AO,77.22,broken clouds,-6.13,12.37,Hotel Mpampa
529,Tucuma,BR,79.84,clear sky,-0.18,-50.05,
